id,state,state_id,city,status,date_completed,url
214,Alabama,AL,Collinsville,completed,2022-03-10 20:02:07,http://www.usa.com/Collinsville-AL.htm
215,Alabama,AL,Level Plains,completed,2022-03-10 20:02:12,http://www.usa.com/Level-Plains-AL.htm
216,Alabama,AL,Stevenson,completed,2022-03-10 20:02:18,http://www.usa.com/Stevenson-AL.htm
217,Alabama,AL,Florala,completed,2022-03-10 20:02:23,http://www.usa.com/Florala-AL.htm
218,Alabama,AL,Dora,completed,2022-03-10 20:02:28,http://www.usa.com/Dora-AL.htm
219,Alabama,AL,Brundidge,completed,2022-03-10 20:02:33,http://www.usa.com/Brundidge-AL.htm
220,Alabama,AL,Slocomb,completed,2022-03-10 20:02:38,http://www.usa.com/Slocomb-AL.htm
221,Alabama,AL,Ashland,completed,2022-03-10 20:02:43,http://www.usa.com/Ashland-AL.htm
222,Alabama,AL,Sylvania,completed,2022-03-10 20:02:48,http://www.usa.com/Sylvania-AL.htm
223,Alabama,AL,Carbon Hill,completed,2022-03-10 20:02:54,http://www.usa.com/Carbon-Hill-AL.htm
224,Alabama,AL,Lookout Mountain,completed,2022-03-10 20:02:59,http://www.usa.com/Lookout-Mountain-AL.htm
225,Alabama,AL,Linden,completed,2022-03-10 20:03:04,http://www.usa.com/Linden-AL.htm
226,Alabama,AL,Crossville,completed,2022-03-10 20:03:10,http://www.usa.com/Crossville-AL.htm
227,Alabama,AL,Samson,completed,2022-03-10 20:03:16,http://www.usa.com/Samson-AL.htm
228,Alabama,AL,Vernon,completed,2022-03-10 20:03:21,http://www.usa.com/Vernon-AL.htm
229,Alabama,AL,Cordova,completed,2022-03-10 20:03:27,http://www.usa.com/Cordova-AL.htm
230,Alabama,AL,Brookwood,completed,2022-03-10 20:03:32,http://www.usa.com/Brookwood-AL.htm
231,Alabama,AL,Sulligent,completed,2022-03-10 20:03:37,http://www.usa.com/Sulligent-AL.htm
232,Alabama,AL,Cedar Bluff,completed,2022-03-10 20:03:42,http://www.usa.com/Cedar-Bluff-AL.htm
233,Alabama,AL,Selmont-West Selmont,completed,2022-03-10 20:03:47,http://www.usa.com/Selmont-West-Selmont-AL.htm
234,Alabama,AL,Sardis City,completed,2022-03-10 20:03:52,http://www.usa.com/Sardis-City-AL.htm
